id_renglon,venta_id,fecha_venta,jugador_id,producto_id,ubicacion_id,cantidad,nombre,categoria,precio,costo,fecha_registro,edad_nino,tipo_suscripcion,estado,municipio,latitud,longitud,Ingreso_Total,Costo_Total,Utilidad
24,50016,2026-06-05,JUG-043,PROD-01,UBI-PUE176,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2025-09-13,9,Premium,Puebla,Puebla (La Paz Tlaxcolpan),18.90063918976696,-98.22160424933368,150.0,45.0,105.0
25,50016,2026-06-05,JUG-043,PROD-05,UBI-PUE176,3,Mochila Ergonómica,Accesorios,450.0,180.0,2025-09-13,9,Premium,Puebla,Puebla (La Paz Tlaxcolpan),18.90063918976696,-98.22160424933368,1350.0,540.0,810.0
26,50016,2026-06-05,JUG-043,PROD-08,UBI-PUE176,1,Planilla Stickers,Papelería,35.0,8.0,2025-09-13,9,Premium,Puebla,Puebla (La Paz Tlaxcolpan),18.90063918976696,-98.22160424933368,35.0,8.0,27.0
27,50017,2023-11-23,JUG-226,PROD-06,UBI-PUE117,1,Lapicera Colección,Papelería,95.0,25.0,2023-11-18,7,Premium,Puebla,San Andrés Cholula,19.02350288796561,-98.31386407467475,95.0,25.0,70.0
28,50018,2023-09-23,JUG-149,PROD-06,UBI-PUE053,2,Lapicera Colección,Papelería,95.0,25.0,2023-01-04,7,Gratuita,Puebla,Tehuacán,18.47209280845156,-97.43251449139444,190.0,50.0,140.0
29,50019,2025-06-21,JUG-044,PROD-07,UBI-PUE105,1,Libreta de Tareas,Papelería,110.0,30.0,2024-09-27,6,Premium,Puebla,San Andrés Cholula,19.034828705995185,-98.3070253535229,110.0,30.0,80.0
30,50019,2025-06-21,JUG-044,PROD-08,UBI-PUE105,1,Planilla Stickers,Papelería,35.0,8.0,2024-09-27,6,Premium,Puebla,San Andrés Cholula,19.034828705995185,-98.3070253535229,35.0,8.0,27.0
31,50019,2025-06-21,JUG-044,PROD-04,UBI-PUE105,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-09-27,6,Premium,Puebla,San Andrés Cholula,19.034828705995185,-98.3070253535229,120.0,35.0,85.0
32,50020,2025-02-05,JUG-242,PROD-03,UBI-PUE239,2,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-11-03,9,Gratuita,Puebla,Chignahuapan,19.833722392641118,-98.02026498256896,560.0,180.0,380.0
33,50021,2025-07-31,JUG-163,PROD-04,UBI-PUE142,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-05-28,8,Gratuita,Puebla,Puebla (Centro),19.07949314246757,-98.13904704882349,120.0,35.0,85.0
34,50021,2025-07-31,JUG-163,PROD-06,UBI-PUE142,2,Lapicera Colección,Papelería,95.0,25.0,2024-05-28,8,Gratuita,Puebla,Puebla (Centro),19.07949314246757,-98.13904704882349,190.0,50.0,140.0
35,50022,2025-02-10,JUG-217,PROD-04,UBI-PUE018,2,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-10-06,11,Gratuita,Puebla,Huauchinango,20.172944307828807,-98.04819021072142,240.0,70.0,170.0
36,50023,2025-07-01,JUG-179,PROD-01,UBI-PUE004,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2024-04-02,10,Gratuita,Puebla,Xicotepec De Juárez,20.272545592784184,-97.96728405997214,150.0,45.0,105.0
37,50023,2025-07-01,JUG-179,PROD-07,UBI-PUE004,1,Libreta de Tareas,Papelería,110.0,30.0,2024-04-02,10,Gratuita,Puebla,Xicotepec De Juárez,20.272545592784184,-97.96728405997214,110.0,30.0,80.0
38,50023,2025-07-01,JUG-179,PROD-02,UBI-PUE004,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2024-04-02,10,Gratuita,Puebla,Xicotepec De Juárez,20.272545592784184,-97.96728405997214,80.0,5.0,75.0
39,50024,2026-08-14,JUG-009,PROD-08,UBI-PUE073,1,Planilla Stickers,Papelería,35.0,8.0,2025-04-08,7,Gratuita,Puebla,Atlixco,18.92114972140276,-98.4595502803005,35.0,8.0,27.0
40,50025,2025-06-03,JUG-216,PROD-07,UBI-PUE023,1,Libreta de Tareas,Papelería,110.0,30.0,2025-02-16,10,Gratuita,Puebla,Huauchinango,20.17818097653682,-98.06346807366349,110.0,30.0,80.0
42,50027,2025-12-12,JUG-144,PROD-06,UBI-PUE266,2,Lapicera Colección,Papelería,95.0,25.0,2024-10-01,12,Gratuita,Puebla,Heroica Puebla De Zaragoza,18.972027898840928,-98.26245922267128,190.0,50.0,140.0
43,50028,2024-07-08,JUG-237,PROD-08,UBI-PUE175,1,Planilla Stickers,Papelería,35.0,8.0,2023-05-03,6,Gratuita,Puebla,Puebla (La Paz Tlaxcolpan),18.900781294687047,-98.22160424933368,35.0,8.0,27.0
44,50028,2024-07-08,JUG-237,PROD-03,UBI-PUE175,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-05-03,6,Gratuita,Puebla,Puebla (La Paz Tlaxcolpan),18.900781294687047,-98.22160424933368,280.0,90.0,190.0
46,50029,2024-03-01,JUG-150,PROD-06,UBI-PUE091,1,Lapicera Colección,Papelería,95.0,25.0,2023-09-02,11,Gratuita,Puebla,San Andrés Cholula,19.0165978317972,-98.29862292983948,95.0,25.0,70.0
47,50030,2026-03-01,JUG-004,PROD-04,UBI-PUE013,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2025-08-30,10,Premium,Puebla,Huauchinango,20.180517279683475,-98.04544362861948,120.0,35.0,85.0
48,50030,2026-03-01,JUG-004,PROD-07,UBI-PUE013,1,Libreta de Tareas,Papelería,110.0,30.0,2025-08-30,10,Premium,Puebla,Huauchinango,20.180517279683475,-98.04544362861948,110.0,30.0,80.0
50,50031,2026-01-18,JUG-043,PROD-07,UBI-PUE136,2,Libreta de Tareas,Papelería,110.0,30.0,2025-09-13,9,Premium,Puebla,San Andrés Cholula,19.019570634269705,-98.31785120227777,220.0,60.0,160.0
51,50032,2024-06-18,JUG-053,PROD-03,UBI-PUE218,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-09-25,6,Gratuita,Puebla,Villa Avila Camacho,20.39041328487738,-97.8819512718766,280.0,90.0,190.0
52,50032,2024-06-18,JUG-053,PROD-04,UBI-PUE218,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-09-25,6,Gratuita,Puebla,Villa Avila Camacho,20.39041328487738,-97.8819512718766,120.0,35.0,85.0
53,50032,2024-06-18,JUG-053,PROD-07,UBI-PUE218,1,Libreta de Tareas,Papelería,110.0,30.0,2023-09-25,6,Gratuita,Puebla,Villa Avila Camacho,20.39041328487738,-97.8819512718766,110.0,30.0,80.0
54,50033,2026-01-26,JUG-007,PROD-03,UBI-PUE277,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2025-07-05,7,Premium,Puebla,Heroica Puebla De Zaragoza,18.996241937648115,-98.19071328242671,280.0,90.0,190.0
55,50033,2026-01-26,JUG-007,PROD-01,UBI-PUE277,2,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2025-07-05,7,Premium,Puebla,Heroica Puebla De Zaragoza,18.996241937648115,-98.19071328242671,300.0,90.0,210.0
56,50034,2023-05-31,JUG-161,PROD-01,UBI-PUE128,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2023-02-05,12,Premium,Puebla,San Andrés Cholula,19.016694322033104,-98.31540880167653,150.0,45.0,105.0
57,50035,2025-07-01,JUG-229,PROD-03,UBI-PUE123,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2024-08-05,11,Gratuita,Puebla,San Andrés Cholula,19.021452337817006,-98.31708567378928,280.0,90.0,190.0
58,50036,2026-03-29,JUG-005,PROD-07,UBI-PUE128,1,Libreta de Tareas,Papelería,110.0,30.0,2024-12-18,9,Premium,Puebla,San Andrés Cholula,19.016694322033104,-98.31540880167653,110.0,30.0,80.0
59,50037,2026-02-26,JUG-212,PROD-05,UBI-PUE112,1,Mochila Ergonómica,Accesorios,450.0,180.0,2024-11-09,10,Gratuita,Puebla,San Andrés Cholula,19.020963820680517,-98.31583531055568,450.0,180.0,270.0
60,50038,2025-06-07,JUG-003,PROD-04,UBI-PUE125,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-02-17,9,Premium,Puebla,San Andrés Cholula,19.020595924111344,-98.31704739736377,120.0,35.0,85.0
61,50039,2025-07-20,JUG-236,PROD-04,UBI-PUE167,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-05-25,12,Premium,Puebla,Puebla (San Andrés Azumiatla),18.890191792692026,-98.25082471958332,120.0,35.0,85.0
62,50040,2025-08-16,JUG-100,PROD-08,UBI-PUE018,1,Planilla Stickers,Papelería,35.0,8.0,2025-03-21,11,Gratuita,Puebla,Huauchinango,20.172944307828807,-98.04819021072142,35.0,8.0,27.0
63,50040,2025-08-16,JUG-100,PROD-05,UBI-PUE018,1,Mochila Ergonómica,Accesorios,450.0,180.0,2025-03-21,11,Gratuita,Puebla,Huauchinango,20.172944307828807,-98.04819021072142,450.0,180.0,270.0
64,50041,2025-09-16,JUG-006,PROD-02,UBI-PUE284,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-02-14,6,Gratuita,Puebla,Heroica Puebla De Zaragoza,19.078827911564364,-98.19555389228724,80.0,5.0,75.0
65,50042,2024-05-13,JUG-019,PROD-01,UBI-PUE183,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2023-05-20,11,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.154892794079935,-98.23180848427106,150.0,45.0,105.0
66,50042,2024-05-13,JUG-019,PROD-06,UBI-PUE183,1,Lapicera Colección,Papelería,95.0,25.0,2023-05-20,11,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.154892794079935,-98.23180848427106,95.0,25.0,70.0
67,50043,2023-08-18,JUG-184,PROD-04,UBI-PUE083,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-05-21,7,Gratuita,Puebla,Atlixco,18.912982271472533,-98.42465178056229,120.0,35.0,85.0
68,50043,2023-08-18,JUG-184,PROD-03,UBI-PUE083,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-05-21,7,Gratuita,Puebla,Atlixco,18.912982271472533,-98.42465178056229,280.0,90.0,190.0
69,50044,2024-06-04,JUG-025,PROD-05,UBI-PUE080,1,Mochila Ergonómica,Accesorios,450.0,180.0,2023-11-04,6,Premium,Puebla,Atlixco,18.93027630720187,-98.4580399183554,450.0,180.0,270.0
70,50044,2024-06-04,JUG-025,PROD-04,UBI-PUE080,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-11-04,6,Premium,Puebla,Atlixco,18.93027630720187,-98.4580399183554,120.0,35.0,85.0
71,50045,2025-04-14,JUG-193,PROD-02,UBI-PUE070,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2024-12-21,7,Gratuita,Puebla,Atlixco,18.895328389622563,-98.43723430072224,80.0,5.0,75.0
72,50045,2025-04-14,JUG-193,PROD-03,UBI-PUE070,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2024-12-21,7,Gratuita,Puebla,Atlixco,18.895328389622563,-98.43723430072224,280.0,90.0,190.0
73,50045,2025-04-14,JUG-193,PROD-06,UBI-PUE070,2,Lapicera Colección,Papelería,95.0,25.0,2024-12-21,7,Gratuita,Puebla,Atlixco,18.895328389622563,-98.43723430072224,190.0,50.0,140.0
74,50046,2024-12-18,JUG-138,PROD-08,UBI-PUE203,1,Planilla Stickers,Papelería,35.0,8.0,2024-05-18,7,Gratuita,Puebla,Amozoc De Mota,19.038464820826707,-98.07272495152884,35.0,8.0,27.0
75,50047,2024-08-26,JUG-249,PROD-08,UBI-PUE149,1,Planilla Stickers,Papelería,35.0,8.0,2023-06-28,12,Gratuita,Puebla,Puebla (Centro),19.059843148924525,-98.2201317990469,35.0,8.0,27.0
76,50047,2024-08-26,JUG-249,PROD-07,UBI-PUE149,1,Libreta de Tareas,Papelería,110.0,30.0,2023-06-28,12,Gratuita,Puebla,Puebla (Centro),19.059843148924525,-98.2201317990469,110.0,30.0,80.0
77,50048,2026-07-11,JUG-096,PROD-08,UBI-PUE178,1,Planilla Stickers,Papelería,35.0,8.0,2025-04-30,10,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.15440632145918,-98.24073487605604,35.0,8.0,27.0
79,50049,2023-10-25,JUG-169,PROD-04,UBI-PUE124,2,Botella de Agua TDAH,Accesorios,120.0,35.0,2023-05-14,11,Gratuita,Puebla,San Andrés Cholula,19.01239350915052,-98.31493673287773,240.0,70.0,170.0
80,50050,2024-06-04,JUG-210,PROD-01,UBI-PUE187,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2023-05-23,9,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.13762213377546,-98.23901826224234,150.0,45.0,105.0
81,50050,2024-06-04,JUG-210,PROD-03,UBI-PUE187,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-05-23,9,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.13762213377546,-98.23901826224234,280.0,90.0,190.0
82,50050,2024-06-04,JUG-210,PROD-08,UBI-PUE187,1,Planilla Stickers,Papelería,35.0,8.0,2023-05-23,9,Premium,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.13762213377546,-98.23901826224234,35.0,8.0,27.0
83,50051,2024-04-20,JUG-015,PROD-01,UBI-PUE011,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2024-04-12,8,Premium,Puebla,Huauchinango,20.18502866253168,-98.06157979846836,150.0,45.0,105.0
84,50052,2024-10-26,JUG-227,PROD-02,UBI-PUE176,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2024-05-22,7,Gratuita,Puebla,Puebla (La Paz Tlaxcolpan),18.90063918976696,-98.22160424933368,80.0,5.0,75.0
86,50052,2024-10-26,JUG-227,PROD-04,UBI-PUE176,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2024-05-22,7,Gratuita,Puebla,Puebla (La Paz Tlaxcolpan),18.90063918976696,-98.22160424933368,120.0,35.0,85.0
87,50053,2024-02-01,JUG-001,PROD-05,UBI-PUE276,2,Mochila Ergonómica,Accesorios,450.0,180.0,2023-09-15,12,Gratuita,Puebla,Heroica Puebla De Zaragoza,18.984025799731366,-98.20370473145633,900.0,360.0,540.0
88,50054,2025-02-25,JUG-095,PROD-07,UBI-PUE042,1,Libreta de Tareas,Papelería,110.0,30.0,2024-08-09,7,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,110.0,30.0,80.0
89,50054,2025-02-25,JUG-095,PROD-05,UBI-PUE042,1,Mochila Ergonómica,Accesorios,450.0,180.0,2024-08-09,7,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,450.0,180.0,270.0
90,50054,2025-02-25,JUG-095,PROD-03,UBI-PUE042,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2024-08-09,7,Gratuita,Puebla,Tehuacán,18.44864555025473,-97.4108851583181,280.0,90.0,190.0
91,50055,2025-08-13,JUG-133,PROD-06,UBI-PUE201,1,Lapicera Colección,Papelería,95.0,25.0,2025-03-28,8,Gratuita,Puebla,Amozoc De Mota,19.03101101824674,-98.07522567799602,95.0,25.0,70.0
92,50055,2025-08-13,JUG-133,PROD-04,UBI-PUE201,3,Botella de Agua TDAH,Accesorios,120.0,35.0,2025-03-28,8,Gratuita,Puebla,Amozoc De Mota,19.03101101824674,-98.07522567799602,360.0,105.0,255.0
93,50056,2024-07-02,JUG-160,PROD-01,UBI-PUE185,2,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2023-10-06,7,Gratuita,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.15108205271274,-98.2386749394796,300.0,90.0,210.0
94,50057,2025-06-30,JUG-136,PROD-06,UBI-PUE050,1,Lapicera Colección,Papelería,95.0,25.0,2024-11-13,11,Gratuita,Puebla,Tehuacán,18.502374105369224,-97.41208678701123,95.0,25.0,70.0
95,50058,2025-07-30,JUG-145,PROD-01,UBI-PUE283,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2024-08-31,7,Gratuita,Puebla,Heroica Puebla De Zaragoza,19.075845285852765,-98.17965272923064,150.0,45.0,105.0
96,50058,2025-07-30,JUG-145,PROD-02,UBI-PUE283,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2024-08-31,7,Gratuita,Puebla,Heroica Puebla De Zaragoza,19.075845285852765,-98.17965272923064,80.0,5.0,75.0
97,50059,2025-01-28,JUG-246,PROD-07,UBI-PUE192,1,Libreta de Tareas,Papelería,110.0,30.0,2024-10-29,10,Gratuita,Puebla,Cuautlancingo (San Lorenzo Almecatla),19.13494623586544,-98.2327526218686,110.0,30.0,80.0
98,50060,2025-01-09,JUG-156,PROD-01,UBI-PUE070,1,Cómic Oficial Vol 1 (Físico),Lectura,150.0,45.0,2024-03-21,12,Gratuita,Puebla,Atlixco,18.895328389622563,-98.43723430072224,150.0,45.0,105.0
99,50061,2025-08-09,JUG-216,PROD-02,UBI-PUE080,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-02-16,10,Gratuita,Puebla,Atlixco,18.93027630720187,-98.4580399183554,80.0,5.0,75.0
100,50062,2026-01-22,JUG-005,PROD-03,UBI-PUE259,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2024-12-18,9,Premium,Puebla,Heroica Puebla De Zaragoza,18.949024714440988,-98.2234127008656,280.0,90.0,190.0
101,50063,2025-03-29,JUG-066,PROD-02,UBI-PUE244,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-03-26,10,Gratuita,Puebla,Chignahuapan,19.82455262201839,-98.02710370392826,80.0,5.0,75.0
102,50063,2025-03-29,JUG-066,PROD-06,UBI-PUE244,1,Lapicera Colección,Papelería,95.0,25.0,2025-03-26,10,Gratuita,Puebla,Chignahuapan,19.82455262201839,-98.02710370392826,95.0,25.0,70.0
103,50064,2026-06-16,JUG-043,PROD-02,UBI-PUE233,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-09-13,9,Premium,Puebla,Chignahuapan,19.83713091589475,-98.02353123754656,80.0,5.0,75.0
104,50065,2026-06-11,JUG-216,PROD-08,UBI-PUE257,1,Planilla Stickers,Papelería,35.0,8.0,2025-02-16,10,Gratuita,Puebla,Heroica Puebla De Zaragoza,18.96383721771913,-98.27213063472668,35.0,8.0,27.0
106,50066,2025-03-31,JUG-028,PROD-05,UBI-PUE198,1,Mochila Ergonómica,Accesorios,450.0,180.0,2023-12-31,7,Gratuita,Puebla,Amozoc De Mota,19.04570928088288,-98.06510339026237,450.0,180.0,270.0
107,50067,2025-12-11,JUG-066,PROD-03,UBI-PUE064,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2025-03-26,10,Gratuita,Puebla,Zacatlán,19.94016070017357,-97.96166085110052,280.0,90.0,190.0
108,50067,2025-12-11,JUG-066,PROD-04,UBI-PUE064,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2025-03-26,10,Gratuita,Puebla,Zacatlán,19.94016070017357,-97.96166085110052,120.0,35.0,85.0
109,50067,2025-12-11,JUG-066,PROD-08,UBI-PUE064,1,Planilla Stickers,Papelería,35.0,8.0,2025-03-26,10,Gratuita,Puebla,Zacatlán,19.94016070017357,-97.96166085110052,35.0,8.0,27.0
110,50068,2024-03-08,JUG-184,PROD-08,UBI-PUE262,2,Planilla Stickers,Papelería,35.0,8.0,2023-05-21,7,Gratuita,Puebla,Heroica Puebla De Zaragoza,18.961926000889537,-98.2395798374358,70.0,16.0,54.0
111,50069,2025-10-02,JUG-086,PROD-03,UBI-PUE210,3,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2025-02-03,9,Gratuita,Puebla,Amozoc De Mota,19.044341517383312,-98.03798442231452,840.0,270.0,570.0
112,50069,2025-10-02,JUG-086,PROD-04,UBI-PUE210,1,Botella de Agua TDAH,Accesorios,120.0,35.0,2025-02-03,9,Gratuita,Puebla,Amozoc De Mota,19.044341517383312,-98.03798442231452,120.0,35.0,85.0
113,50069,2025-10-02,JUG-086,PROD-06,UBI-PUE210,1,Lapicera Colección,Papelería,95.0,25.0,2025-02-03,9,Gratuita,Puebla,Amozoc De Mota,19.044341517383312,-98.03798442231452,95.0,25.0,70.0
114,50070,2024-02-15,JUG-187,PROD-07,UBI-PUE030,1,Libreta de Tareas,Papelería,110.0,30.0,2023-03-20,11,Premium,Puebla,Tehuacán,18.44327176940693,-97.38908416288396,110.0,30.0,80.0
115,50071,2024-01-16,JUG-225,PROD-03,UBI-PUE051,1,Peluche Personaje Coleccionable,Peluches,280.0,90.0,2023-01-15,8,Gratuita,Puebla,Tehuacán,18.497002007723047,-97.43697768731008,280.0,90.0,190.0
116,50072,2025-06-09,JUG-077,PROD-06,UBI-PUE132,1,Lapicera Colección,Papelería,95.0,25.0,2025-03-01,11,Gratuita,Puebla,San Andrés Cholula,19.01712033992352,-98.31877765619926,95.0,25.0,70.0
117,50073,2025-10-04,JUG-021,PROD-08,UBI-PUE033,1,Planilla Stickers,Papelería,35.0,8.0,2025-02-27,11,Gratuita,Puebla,Tehuacán,18.45939260751467,-97.37912780276442,35.0,8.0,27.0
118,50073,2025-10-04,JUG-021,PROD-02,UBI-PUE033,2,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2025-02-27,11,Gratuita,Puebla,Tehuacán,18.45939260751467,-97.37912780276442,160.0,10.0,150.0
119,50073,2025-10-04,JUG-021,PROD-07,UBI-PUE033,1,Libreta de Tareas,Papelería,110.0,30.0,2025-02-27,11,Gratuita,Puebla,Tehuacán,18.45939260751467,-97.37912780276442,110.0,30.0,80.0
120,50074,2024-06-12,JUG-062,PROD-02,UBI-PUE013,1,Cómic Oficial Vol 1 (Virtual),Lectura,80.0,5.0,2024-03-26,10,Gratuita,Puebla,Huauchinango,20.180517279683475,-98.04544362861948,80.0,5.0,75.0
