id_renglon,venta_id,fecha_venta,jugador_id,producto_id,ubicacion_id,cantidad
143,50087,2025-05-10,JUG-228,PROD-05,UBI-PUE102,1.0
144,50088,2025-01-13,JUG-226,PROD-08,UBI-PUE278,1.0
145,50088,2025-01-13,JUG-226,PROD-07,UBI-PUE278,1.0
146,50089,2025-12-02,JUG-036,PROD-05,UBI-PUE053,1.0
147,50089,2025-12-02,JUG-036,PROD-02,UBI-PUE053,1.0
148,50089,2025-12-02,JUG-036,PROD-01,UBI-PUE053,1.0
149,50090,2026-01-23,JUG-116,PROD-04,UBI-PUE127,1.0
150,50091,2025-03-26,JUG-118,PROD-07,UBI-PUE010,1.0
151,50092,2024-11-14,JUG-036,PROD-04,UBI-PUE006,2.0
152,50093,2025-10-10,JUG-182,PROD-05,UBI-PUE058,1.0
153,50094,2025-02-07,JUG-126,PROD-08,UBI-PUE162,1.0
154,50094,2025-02-07,JUG-126,PROD-08,UBI-PUE162,1.0
155,50094,2025-02-07,JUG-126,PROD-02,UBI-PUE162,1.0
156,50095,2024-05-06,JUG-032,PROD-07,UBI-PUE147,2.0
157,50096,2025-01-24,JUG-084,PROD-05,UBI-PUE013,1.0
158,50096,2025-01-24,JUG-084,PROD-06,UBI-PUE013,0.0
159,50096,2025-01-24,JUG-084,PROD-07,UBI-PUE013,2.0
160,50097,2024-12-15,JUG-181,PROD-02,UBI-PUE228,1.0
161,50098,2023-10-27,JUG-150,PROD-08,UBI-PUE203,1.0
162,50099,2023-12-24,JUG-094,PROD-07,UBI-PUE171,1.0
163,50100,2026-03-24,JUG-115,PROD-05,UBI-PUE015,1.0
164,50101,2025-05-19,JUG-180,PROD-04,UBI-PUE252,1.0
165,50101,2025-05-19,JUG-180,PROD-08,UBI-PUE252,1.0
166,50101,2025-05-19,JUG-180,PROD-05,UBI-PUE252,2.0
167,50102,2024-10-14,JUG-089,PROD-07,UBI-PUE193,1.0
168,50103,2025-06-02,JUG-144,PROD-01,UBI-PUE159,1.0
169,50104,2023-06-30,JUG-189,PROD-05,UBI-PUE153,1.0
170,50104,2023-06-30,JUG-189,PROD-06,UBI-PUE153,1.0
171,50104,2023-06-30,JUG-189,PROD-08,UBI-PUE153,1.0
172,50105,2025-08-11,JUG-240,PROD-06,UBI-PUE023,3.0
173,50106,2026-08-27,JUG-082,PROD-01,UBI-PUE021,1.0
174,50106,2026-08-27,JUG-082,PROD-01,UBI-PUE021,1.0
175,50107,2025-05-19,JUG-235,PROD-04,UBI-PUE187,1.0
176,50107,2025-05-19,JUG-235,PROD-05,UBI-PUE187,1.0
177,50108,2024-07-06,JUG-148,PROD-05,UBI-PUE196,2.0
178,50109,2026-03-21,JUG-136,PROD-04,UBI-PUE231,1.0
179,50109,2026-03-21,JUG-136,PROD-07,UBI-PUE231,1.0
180,50110,2025-06-25,JUG-177,PROD-06,UBI-PUE050,1.0
181,50111,2025-02-06,JUG-036,PROD-08,UBI-PUE259,2.0
182,50112,2024-10-25,JUG-025,PROD-08,UBI-PUE261,1.0
183,50112,2024-10-25,JUG-025,PROD-08,UBI-PUE261,1.0
184,50113,2026-08-25,JUG-047,PROD-07,UBI-PUE160,1.0
185,50113,2026-08-25,JUG-047,PROD-02,UBI-PUE160,2.0
186,50114,2024-11-11,JUG-037,PROD-05,UBI-PUE034,1.0
187,50115,2026-07-20,JUG-102,PROD-03,UBI-PUE211,2.0
188,50115,2026-07-20,JUG-102,PROD-05,UBI-PUE211,2.0
189,50116,2023-03-25,JUG-132,PROD-05,UBI-PUE111,1.0
190,50116,2023-03-25,JUG-132,PROD-04,UBI-PUE111,1.0
191,50116,2023-03-25,JUG-132,PROD-05,UBI-PUE111,2.0
192,50117,2025-02-15,JUG-228,PROD-08,UBI-PUE248,1.0
193,50117,2025-02-15,JUG-228,PROD-06,UBI-PUE248,1.0
194,50118,2025-09-30,JUG-145,PROD-01,UBI-PUE022,1.0
195,50118,2025-09-30,JUG-145,PROD-01,UBI-PUE022,1.0
196,50119,2024-04-23,JUG-003,PROD-03,UBI-PUE008,1.0
197,50120,2024-02-13,JUG-010,PROD-03,UBI-PUE165,2.0
198,50120,2024-02-13,JUG-010,PROD-05,UBI-PUE165,1.0
199,50121,2024-06-18,JUG-042,PROD-04,UBI-PUE105,1.0
200,50122,2024-06-18,JUG-238,PROD-04,UBI-PUE067,1.0
201,50123,2024-05-01,JUG-035,PROD-08,UBI-PUE183,1.0
202,50123,2024-05-01,JUG-035,PROD-07,UBI-PUE183,1.0
203,50124,2025-01-27,JUG-024,PROD-05,UBI-PUE014,1.0
204,50124,2025-01-27,JUG-024,PROD-02,UBI-PUE014,1.0
205,50125,2025-11-16,JUG-166,PROD-03,UBI-PUE216,1.0
206,50126,2025-05-27,JUG-177,PROD-06,UBI-PUE134,1.0
207,50126,2025-05-27,JUG-177,PROD-08,UBI-PUE134,1.0
208,50127,2024-09-17,JUG-183,PROD-05,UBI-PUE232,1.0
209,50128,2025-01-05,JUG-231,PROD-03,UBI-PUE056,1.0
210,50128,2025-01-05,JUG-231,PROD-08,UBI-PUE056,1.0
211,50128,2025-01-05,JUG-231,PROD-02,UBI-PUE056,1.0
212,50129,2026-12-06,JUG-049,PROD-03,UBI-PUE135,1.0
213,50129,2026-12-06,JUG-049,PROD-01,UBI-PUE135,1.0
214,50130,2025-07-24,JUG-144,PROD-07,UBI-PUE068,2.0
215,50130,2025-07-24,JUG-144,PROD-03,UBI-PUE068,1.0
216,50131,2025-11-13,JUG-139,PROD-03,UBI-PUE036,1.0
217,50132,2025-05-25,JUG-020,PROD-07,UBI-PUE233,1.0
218,50133,2023-12-31,JUG-217,PROD-03,UBI-PUE089,1.0
219,50133,2023-12-31,JUG-217,PROD-06,UBI-PUE089,1.0
220,50134,2024-05-15,JUG-134,PROD-08,UBI-PUE157,1.0
221,50135,2024-08-25,JUG-108,PROD-01,UBI-PUE239,3.0
222,50136,2026-06-10,JUG-047,PROD-04,UBI-PUE252,2.0
223,50137,2025-03-14,JUG-124,PROD-01,UBI-PUE257,1.0
224,50137,2025-03-14,JUG-124,PROD-03,UBI-PUE257,1.0
225,50138,2024-08-23,JUG-012,PROD-01,UBI-PUE026,1.0
226,50139,2026-10-15,JUG-073,PROD-04,UBI-PUE019,3.0
227,50139,2026-10-15,JUG-073,PROD-07,UBI-PUE019,1.0
228,50140,2025-11-13,JUG-044,PROD-08,UBI-PUE217,2.0
229,50141,2025-03-12,JUG-086,PROD-08,UBI-PUE035,1.0
230,50142,2023-11-12,JUG-213,PROD-05,UBI-PUE042,1.0
231,50143,2025-08-24,JUG-171,PROD-06,UBI-PUE025,2.0
232,50144,2025-01-28,JUG-246,PROD-04,UBI-PUE161,0.0
233,50145,2024-11-12,JUG-111,PROD-05,UBI-PUE241,1.0
234,50146,2025-10-20,JUG-009,PROD-05,UBI-PUE079,1.0
235,50147,2023-10-26,JUG-213,PROD-07,UBI-PUE128,3.0
236,50147,2023-10-26,JUG-213,PROD-04,UBI-PUE128,1.0
237,50148,2023-04-09,JUG-225,PROD-05,UBI-PUE040,1.0
238,50149,2024-07-22,JUG-063,PROD-05,UBI-PUE090,
239,50150,2025-06-02,JUG-046,PROD-04,UBI-PUE252,3.0
240,50151,2023-12-29,JUG-215,PROD-04,UBI-PUE200,1.0
241,50152,2026-06-29,JUG-147,PROD-03,UBI-PUE020,1.0
242,50152,2026-06-29,JUG-147,PROD-08,UBI-PUE020,1.0
243,50153,2025-11-06,JUG-194,PROD-01,UBI-PUE073,1.0
244,50153,2025-11-06,JUG-194,PROD-03,UBI-PUE073,1.0
245,50153,2025-11-06,JUG-194,PROD-01,UBI-PUE073,3.0
246,50154,2023-06-14,JUG-128,PROD-03,UBI-PUE077,1.0
247,50155,2024-03-07,JUG-039,PROD-07,UBI-PUE004,1.0
248,50155,2024-03-07,JUG-039,PROD-04,UBI-PUE004,1.0
249,50155,2024-03-07,JUG-039,PROD-04,UBI-PUE004,1.0
250,50156,2024-12-30,JUG-182,PROD-07,UBI-PUE274,1.0
251,50157,2023-01-24,JUG-039,PROD-08,UBI-PUE070,1.0
252,50158,2024-11-16,JUG-017,PROD-04,UBI-PUE088,1.0
253,50159,2023-12-07,JUG-143,PROD-07,UBI-PUE243,2.0
254,50159,2023-12-07,JUG-143,PROD-01,UBI-PUE243,1.0
255,50160,2024-01-23,JUG-130,PROD-06,UBI-PUE205,1.0
256,50161,2024-11-08,JUG-186,PROD-07,UBI-PUE171,1.0
257,50162,2024-07-15,JUG-200,PROD-06,UBI-PUE061,1.0
258,50163,2026-05-08,JUG-004,PROD-05,UBI-PUE015,1.0
259,50164,2024-11-17,JUG-037,PROD-08,UBI-PUE146,1.0
260,50165,2026-04-25,JUG-087,PROD-01,UBI-PUE033,1.0
261,50165,2026-04-25,JUG-087,PROD-04,UBI-PUE033,2.0
262,50166,2026-09-17,JUG-087,PROD-04,UBI-PUE130,1.0
263,50166,2026-09-17,JUG-087,PROD-02,UBI-PUE130,1.0
264,50166,2026-09-17,JUG-087,PROD-04,UBI-PUE130,1.0
265,50167,2023-07-21,JUG-072,PROD-02,UBI-PUE017,1.0
266,50168,2025-02-23,JUG-122,PROD-02,UBI-PUE256,1.0
267,50168,2025-02-23,JUG-122,PROD-04,UBI-PUE256,3.0
268,50169,2025-06-12,JUG-023,PROD-08,UBI-PUE264,1.0
269,50169,2025-06-12,JUG-023,PROD-03,UBI-PUE264,1.0
270,50169,2025-06-12,JUG-023,PROD-07,UBI-PUE264,1.0
271,50170,2025-09-04,JUG-175,PROD-05,UBI-PUE139,1.0
272,50171,2023-12-21,JUG-155,PROD-02,UBI-PUE136,0.0
273,50171,2023-12-21,JUG-155,PROD-07,UBI-PUE136,3.0
274,50171,2023-12-21,JUG-155,PROD-02,UBI-PUE136,1.0
275,50172,2023-03-21,JUG-027,PROD-01,UBI-PUE134,1.0
276,50172,2023-03-21,JUG-027,PROD-06,UBI-PUE134,2.0
277,50173,2024-05-18,JUG-186,PROD-03,UBI-PUE210,1.0
278,50173,2024-05-18,JUG-186,PROD-05,UBI-PUE210,1.0
279,50174,2023-12-31,JUG-170,PROD-04,UBI-PUE150,2.0
280,50175,2025-01-24,JUG-182,PROD-01,UBI-PUE009,1.0
281,50175,2025-01-24,JUG-182,PROD-01,UBI-PUE009,1.0
282,50176,2025-09-16,JUG-102,PROD-04,UBI-PUE118,1.0
283,50177,2024-06-19,JUG-132,PROD-04,UBI-PUE023,3.0
284,50177,2024-06-19,JUG-132,PROD-03,UBI-PUE023,1.0
285,50177,2024-06-19,JUG-132,PROD-05,UBI-PUE023,1.0
286,50178,2026-05-27,JUG-100,PROD-06,UBI-PUE276,1.0
287,50178,2026-05-27,JUG-100,PROD-06,UBI-PUE276,1.0
288,50179,2026-02-27,JUG-075,PROD-07,UBI-PUE230,1.0
289,50179,2026-02-27,JUG-075,PROD-03,UBI-PUE230,1.0
290,50180,2024-01-21,JUG-197,PROD-08,UBI-PUE108,2.0
291,50180,2024-01-21,JUG-197,PROD-06,UBI-PUE108,1.0
292,50180,2024-01-21,JUG-197,PROD-02,UBI-PUE108,2.0
293,50181,2024-05-08,JUG-247,PROD-01,UBI-PUE155,1.0
294,50181,2024-05-08,JUG-247,PROD-07,UBI-PUE155,1.0
295,50182,2024-05-24,JUG-141,PROD-08,UBI-PUE109,1.0
296,50183,2025-02-11,JUG-025,PROD-01,UBI-PUE117,1.0
297,50183,2025-02-11,JUG-025,PROD-01,UBI-PUE117,1.0
298,50183,2025-02-11,JUG-025,PROD-04,UBI-PUE117,2.0
299,50184,2026-06-29,JUG-038,PROD-07,UBI-PUE182,1.0
300,50185,2025-12-17,JUG-082,PROD-03,UBI-PUE053,1.0
301,50186,2024-10-23,JUG-229,PROD-07,UBI-PUE093,1.0
302,50186,2024-10-23,JUG-229,PROD-02,UBI-PUE093,1.0
303,50186,2024-10-23,JUG-229,PROD-05,UBI-PUE093,1.0
304,50187,2024-03-10,JUG-170,PROD-07,UBI-PUE126,1.0
305,50188,2026-02-25,JUG-096,PROD-02,UBI-PUE099,1.0
306,50189,2024-06-16,JUG-154,PROD-02,UBI-PUE210,1.0
307,50189,2024-06-16,JUG-154,PROD-05,UBI-PUE210,2.0
308,50190,2024-09-15,JUG-242,PROD-03,UBI-PUE192,1.0
309,50191,2024-11-20,JUG-136,PROD-05,UBI-PUE109,2.0
310,50192,2023-04-14,JUG-187,PROD-07,UBI-PUE009,1.0
311,50193,2026-02-24,JUG-185,PROD-02,UBI-PUE088,2.0
312,50193,2026-02-24,JUG-185,PROD-07,UBI-PUE088,1.0
313,50193,2026-02-24,JUG-185,PROD-05,UBI-PUE088,1.0
314,50194,2024-10-11,JUG-026,PROD-03,UBI-PUE015,1.0
315,50194,2024-10-11,JUG-026,PROD-08,UBI-PUE015,1.0
316,50194,2024-10-11,JUG-026,PROD-06,UBI-PUE015,1.0
317,50195,2024-09-02,JUG-226,PROD-03,UBI-PUE184,2.0
318,50195,2024-09-02,JUG-226,PROD-03,UBI-PUE184,1.0
319,50196,2025-11-28,JUG-174,PROD-02,UBI-PUE092,1.0
320,50197,2026-06-16,JUG-050,PROD-03,UBI-PUE055,1.0
321,50198,2024-11-24,JUG-196,PROD-04,UBI-PUE206,1.0
322,50198,2024-11-24,JUG-196,PROD-02,UBI-PUE206,1.0
323,50198,2024-11-24,JUG-196,PROD-03,UBI-PUE206,1.0
324,50199,2023-09-23,JUG-001,PROD-05,UBI-PUE174,2.0
325,50199,2023-09-23,JUG-001,PROD-04,UBI-PUE174,1.0
326,50200,2025-01-18,JUG-246,PROD-03,UBI-PUE144,1.0
327,50201,2024-06-16,JUG-028,PROD-05,UBI-PUE023,1.0
328,50202,2024-01-16,JUG-113,PROD-03,UBI-PUE118,1.0
329,50203,2026-02-18,JUG-212,PROD-01,UBI-PUE065,1.0
330,50204,2024-06-30,JUG-076,PROD-04,UBI-PUE225,2.0
331,50205,2024-03-14,JUG-173,PROD-01,UBI-PUE148,1.0
332,50206,2026-06-24,JUG-175,PROD-01,UBI-PUE052,1.0
333,50207,2026-03-12,JUG-007,PROD-02,UBI-PUE066,1.0
334,50207,2026-03-12,JUG-007,PROD-01,UBI-PUE066,0.0
335,50207,2026-03-12,JUG-007,PROD-04,UBI-PUE066,1.0
336,50208,2025-02-04,JUG-018,PROD-06,UBI-PUE092,1.0
337,50209,2024-04-05,JUG-152,PROD-02,UBI-PUE269,2.0
338,50210,2025-06-10,JUG-121,PROD-01,UBI-PUE252,1.0
339,50211,2025-05-30,JUG-240,PROD-02,UBI-PUE055,1.0
340,50211,2025-05-30,JUG-240,PROD-03,UBI-PUE055,1.0
341,50212,2025-11-29,JUG-146,PROD-03,UBI-PUE067,2.0
342,50213,2026-02-18,JUG-224,PROD-04,UBI-PUE137,2.0
343,50213,2026-02-18,JUG-224,PROD-01,UBI-PUE137,2.0
344,50213,2026-02-18,JUG-224,PROD-02,UBI-PUE137,1.0
345,50214,2026-12-19,JUG-050,PROD-01,UBI-PUE054,2.0
346,50214,2026-12-19,JUG-050,PROD-02,UBI-PUE054,1.0
347,50215,2024-10-22,JUG-017,PROD-04,UBI-PUE029,1.0
348,50215,2024-10-22,JUG-017,PROD-02,UBI-PUE029,1.0
349,50216,2025-08-02,JUG-022,PROD-05,UBI-PUE264,1.0
350,50217,2024-07-25,JUG-083,PROD-02,UBI-PUE189,1.0
351,50218,2024-12-14,JUG-076,PROD-05,UBI-PUE056,2.0
352,50218,2024-12-14,JUG-076,PROD-04,UBI-PUE056,1.0
353,50219,2024-02-19,JUG-084,PROD-04,UBI-PUE230,1.0
354,50220,2025-07-05,JUG-073,PROD-07,UBI-PUE145,1.0
355,50221,2025-02-20,JUG-089,PROD-01,UBI-PUE199,1.0
356,50222,2024-10-24,JUG-226,PROD-02,UBI-PUE105,1.0
357,50222,2024-10-24,JUG-226,PROD-07,UBI-PUE105,1.0
358,50222,2024-10-24,JUG-226,PROD-01,UBI-PUE105,1.0
359,50223,2024-07-11,JUG-184,PROD-04,UBI-PUE189,1.0
360,50224,2024-02-09,JUG-230,PROD-03,UBI-PUE277,1.0
361,50224,2024-02-09,JUG-230,PROD-01,UBI-PUE277,1.0
362,50225,2024-05-28,JUG-197,PROD-08,UBI-PUE227,1.0
363,50225,2024-05-28,JUG-197,PROD-03,UBI-PUE227,1.0
364,50226,2025-04-23,JUG-205,PROD-05,UBI-PUE263,1.0
365,50226,2025-04-23,JUG-205,PROD-07,UBI-PUE263,1.0
366,50227,2024-07-04,JUG-198,PROD-01,UBI-PUE009,1.0
367,50227,2024-07-04,JUG-198,PROD-08,UBI-PUE009,1.0
368,50228,2025-05-30,JUG-166,PROD-02,UBI-PUE187,1.0
369,50229,2025-06-05,JUG-030,PROD-01,UBI-PUE261,1.0
370,50230,2025-03-17,JUG-145,PROD-01,UBI-PUE108,1.0
371,50231,2025-01-08,JUG-040,PROD-05,UBI-PUE178,1.0
372,50232,2024-11-24,JUG-001,PROD-04,UBI-PUE177,1.0
373,50233,2026-02-07,JUG-231,PROD-03,UBI-PUE135,1.0
374,50233,2026-02-07,JUG-231,PROD-07,UBI-PUE135,1.0
375,50233,2026-02-07,JUG-231,PROD-04,UBI-PUE135,3.0
376,50234,2025-08-17,JUG-007,PROD-01,UBI-PUE038,1.0
